scan_name,category,hu_mean_Water_O,hu_mean_SW_ref_1,hu_mean_SW_ref_2,hu_mean_Ca_50,hu_mean_Ca_100,hu_mean_Ca_200,hu_mean_Ca_300,hu_mean_Ca_400,hu_mean_Water_I,hu_mean_I_2.0,hu_mean_I_2.5,hu_mean_I_5.0,hu_mean_I_7.5,hu_mean_I_10.0,hu_mean_I_15.0,hu_mean_I_20.0,hu_std_Water_O,hu_std_SW_ref_1,hu_std_SW_ref_2,hu_std_Ca_50,hu_std_Ca_100,hu_std_Ca_200,hu_std_Ca_300,hu_std_Ca_400,hu_std_Water_I,hu_std_I_2.0,hu_std_I_2.5,hu_std_I_5.0,hu_std_I_7.5,hu_std_I_10.0,hu_std_I_15.0,hu_std_I_20.0,cnr_Water_O,cnr_SW_ref_1,cnr_SW_ref_2,cnr_Ca_50,cnr_Ca_100,cnr_Ca_200,cnr_Ca_300,cnr_Ca_400,cnr_Water_I,cnr_I_2.0,cnr_I_2.5,cnr_I_5.0,cnr_I_7.5,cnr_I_10.0,cnr_I_15.0,cnr_I_20.0,nps_peak_freq_lp_cm,nps_area_HU2cm2,mtf_f50_lp_cm,mtf_f10_lp_cm
sim_hir_120kVp_50mA_HIR,sim_HIR,32.95,33.44,38.23,167.89,270.47,582.9,850.9,1075.74,58.92,109.31,109.78,154.66,197.17,252.41,344.02,493.49,236.81,260.48,289.68,276.39,224.77,257.53,287.15,283.32,260.62,250.47,245.59,209.75,265.19,249.68,248.82,218.4,0.0,0.0,0.02,0.57,1.0,2.32,3.45,4.4,0.11,0.32,0.32,0.51,0.69,0.93,1.31,1.94,3.657,369.92,2.478,5.311
sim_hir_120kVp_150mA_HIR,sim_HIR,36.58,36.61,37.73,165.01,262.95,582.31,842.93,1067.19,61.74,110.19,109.67,151.33,194.66,243.93,332.22,487.52,235.4,259.48,287.68,276.3,227.17,256.23,288.41,281.1,261.07,251.35,241.01,206.82,260.25,247.05,243.92,215.19,0.0,0.0,0.0,0.55,0.96,2.32,3.43,4.38,0.11,0.31,0.31,0.49,0.67,0.88,1.26,1.92,3.657,362.589,2.457,5.32
sim_hir_120kVp_300mA_HIR,sim_HIR,36.24,35.68,35.38,166.7,259.76,592.23,844.06,1061.51,63.14,112.24,110.04,147.9,194.03,243.02,323.71,486.36,235.57,259.57,287.72,276.26,227.05,254.83,289.1,283.12,262.52,248.97,243.38,205.88,258.9,245.56,244.07,213.86,0.0,-0.0,-0.0,0.55,0.95,2.36,3.43,4.35,0.11,0.32,0.31,0.47,0.67,0.88,1.22,1.91,3.657,364.162,2.461,5.322
sim_hir_80kVp_480mA_HIR,sim_HIR,-111779.76,-46987.64,-110576.54,-54691.57,-105592.48,-78462.95,-43007.13,-92533.53,-14557.04,29151.59,-16533.49,56929.19,-34957.26,36119.96,-36024.56,25460.36,2.37423835e6,2.39423502e6,2.31725359e6,2.40632528e6,2.40952365e6,2.39344016e6,2.33782646e6,2.45567596e6,1.77090925e6,1.62717693e6,1.82719425e6,1.6264784e6,1.78856212e6,1.6238338e6,1.80903929e6,1.64954757e6,0.0,0.03,0.0,0.02,0.0,0.01,0.03,0.01,0.04,0.06,0.04,0.07,0.03,0.06,0.03,0.06,3.657,1.4671602310596e10,0.244,7.223
sim_hir_100kVp_250mA_HIR,sim_HIR,-5336.98,-1843.88,-4698.04,-2240.13,-4679.98,-2698.9,-1218.35,-3054.35,-701.62,1552.38,-562.73,2492.12,-1605.99,1809.03,-1043.59,1611.45,109838.72,109694.16,105640.35,111365.46,112639.55,110530.31,108167.44,113624.9,79989.97,74353.02,83097.23,73578.22,80972.75,73934.06,82217.61,74792.35,0.0,0.03,0.01,0.03,0.01,0.02,0.04,0.02,0.04,0.06,0.04,0.07,0.03,0.07,0.04,0.06,3.657,2.9536273079e7,0.249,7.223
sim_hir_140kVp_110mA_HIR,sim_HIR,16.0,13.39,11.42,141.71,230.26,485.67,733.92,930.57,37.75,70.67,78.44,110.22,144.05,180.6,253.65,349.65,54.74,53.75,77.7,69.65,51.73,60.46,76.79,76.68,58.36,56.7,54.85,46.53,60.68,58.43,56.68,51.32,0.0,-0.05,-0.08,2.3,3.91,8.58,13.12,16.71,0.4,1.0,1.14,1.72,2.34,3.01,4.34,6.1,3.657,17.115,2.482,5.242
VMI_40keV,sim_DE_VMI,-12.99,25.76,31.19,288.74,624.3,1169.94,1977.05,3173.9,85.97,196.61,230.77,568.34,533.35,1035.51,1368.94,1816.5,94.06,391.94,460.53,426.42,696.91,545.99,834.36,1276.73,565.51,243.66,256.38,628.32,508.36,774.31,893.44,864.04,0.0,0.41,0.47,3.21,6.78,12.58,21.16,33.88,1.05,2.23,2.59,6.18,5.81,11.15,14.69,19.45,1.829,2154.379,2.638,3.97
VMI_70keV,sim_DE_VMI,-6.55,37.61,34.46,186.55,354.08,596.23,1090.06,1760.23,41.93,84.75,86.12,264.66,216.7,536.53,523.3,726.69,59.12,223.32,240.99,197.07,284.39,262.71,452.58,587.39,241.9,105.33,122.58,288.9,223.68,406.38,420.6,390.08,0.0,0.75,0.69,3.27,6.1,10.2,18.55,29.88,0.82,1.54,1.57,4.59,3.78,9.19,8.96,12.4,0.914,458.473,1.552,3.24
VMI_100keV,sim_DE_VMI,-6.26,34.54,33.5,157.64,285.53,444.0,848.52,1401.08,36.79,55.6,48.59,189.0,134.27,405.75,314.55,450.25,56.2,206.99,215.72,169.14,232.66,224.24,415.27,502.31,204.21,89.27,105.91,254.87,200.23,372.0,371.58,334.94,0.0,0.73,0.71,2.92,5.19,8.01,15.21,25.04,0.77,1.1,0.98,3.47,2.5,7.33,5.71,8.12,0.914,347.043,1.406,2.922
VMI_140keV,sim_DE_VMI,-7.2,37.41,31.69,147.44,256.49,382.49,753.93,1250.67,31.64,44.04,31.13,159.34,99.91,349.97,224.85,335.21,54.2,193.77,200.46,148.66,198.64,199.82,388.41,447.49,178.68,81.14,94.39,223.75,183.13,348.07,334.02,298.56,0.0,0.82,0.72,2.85,4.87,7.19,14.04,23.21,0.72,0.95,0.71,3.07,1.98,6.59,4.28,6.32,0.914,274.118,1.327,2.726
